index,original,replacement,answers,comment,split,lesson,part
775,じぞう,地蔵,,"WKshitigarbha (Buddhism: bodhisattva (guardian deity) who looks over children, travellers and the underworld); Jizō",,,
780,とる,取る,,Ato take off,,読L10-II,
781,びっくりする,吃驚する,,a (Usually written using kana alone),,,
783,もち,餅,,a (Usually written using kana alone),,,
786,うそをつく,嘘を吐く,,a (吐く is usually written using kana alone),,,
789,おなかがすく,お腹が空く,,,,,
791,おもちゃ,お玩具,,a (Usually written using kana alone),,,
801,けんかする,喧嘩する,,,,,
803,こちら,此方,,a (Usually written using kana alone),,,
821,つり,釣り,,,,,
836,やめる,辞める,,,,,
842,かたい言い方,固い言い方,,,,,
843,かっこ,括弧,,a (Usually written using kana alone),,,
846,くだけた言い方,砕けた言い方,,a (Usually written using kana alone),,,
851,ていねいな言い方,丁寧な言い方,,,,,
852,ばつ,ｘ（罰）,,a (Usually written using kana alone),,,
857,ほかに,他に,,a (Usually written using kana alone),,,
858,まる,○（丸）,,a (Usually written using kana alone),,,
864,こと,事,,a (Usually written using kana alone),,,
865,これから,此れから,,a (Usually written using kana alone),,,
895,せき,咳,,,,,
896,せきが出る,咳が出る,,,,,
898,それに,其れに,,a (Usually written using kana alone),,,
902,できるだけ,出来る丈,,a (Usually written using kana alone),,,
903,なくす,無くす,,a (Usually written using kana alone),,,
915,もうすぐ,もう直ぐ,,a (Usually written using kana alone),,,
924,くしゃみ,嚏,,a (Usually written using kana alone),,,
925,けが,怪我,,,,,
948,めまいがする,眩暈がする,,a (Usually written using kana alone),,,
949,やけどをする,火傷をする,,a (Usually written using kana alone),,,
957,かなう,叶う,,,,,
960,たんざく,短冊,,"Wlong, narrow strip of paper on which Japanese poems are written (vertically)"​,,,
979,うれしい,嬉しい,,,,,
997,すごい,凄い,,a (Usually written using kana alone),,,
1037,かめ,亀,,,,,
1039,すっぽん,鼈,,a (Usually written using kana alone),,,
1041,なべ,鍋,,,,,
1042,なんでも,何でも,,a (Usually written using kana alone),,,
1045,めずらしい,珍しい,,,,,
1047,やっぱり,矢っ張り,,a (Usually written using kana alone),,,
1059,あきらめる,諦める,,,,,
1060,あげる,上げる,,Ato give (to others),,会L14,
1067,おじさん,伯父さん/叔父さん,,"Wuncle, 伯父さん is older than one's parent and 叔父さん is younger (Usually written using kana alone)",y,,
1067,おじさん,小父さん,,Wold/middle-aged man; mister​ (Usually written using kana alone),,,
1069,おばさん,伯母さん/叔母さん,,"W伯母さん is older than one's parent and 叔母さん is younger (Usually written using kana alone)",y,,
1069,おばさん,小母さん,,Wold/middle-aged woman; ma'am (Usually written using kana alone),,,
1072,くれる,呉れる,,a (Usually written using kana alone),,,
1087,ちょうど,丁度,,a (Usually written using kana alone),,,
1089,できる,出来る,,a (Usually written using kana alone),,,
1090,どうしたらいい,どうしたら良い,,a (Usually written using kana alone),,,
1093,ぬいぐるみ,縫いぐるみ,,a (Usually written using kana alone),,,
1140,しゃべる,喋る,,a (Usually written using kana alone),,,
1146,そば,蕎麦,,a (Usually written using kana alone),,,
1180,くじら,鯨,,a (Usually written using kana alone),,,
1213,おごる,奢る,,a (Usually written using kana alone),,,
1222,このぐらい,この位,,a (Usually written using kana alone),,,
1224,ごみ,塵,,a (Usually written using kana alone),,,
1225,ごめん,御免,,a (Usually written using kana alone),,,
1260,どこでも,何処でも,,a (Usually written using kana alone),,,
1273,いれる,入れる,,"a (Also 淹れる)",,会L17,
1274,うらやましい,羨ましい,,,,,
1278,おめでとうございます,御目出度う御座います,,a (Usually written using kana alone),,,
1297,ずいぶん,随分,,a (Usually written using kana alone),,,
1315,ひげ,髭,,a (Usually written using kana alone),,,
1316,ひげをそる,髭を剃る,,a (髭 is usually written using kana alone),,,
1328,すく,空く,,,,,
1330,そめる,染める,,,,,
1331,そる,剃る,,,,,
1332,そろえる,揃える,,,,,
1344,しかし,然し,,a (Usually written using kana alone),,,
1356,はしご,梯子,,a (Usually written using kana alone),,,
